iter	Passed	Remaining
1029	14251	6503
1030	14265	6489
1031	14279	6475
1032	14293	6461
1033	14308	6448
1034	14320	6433
1035	14334	6420
1036	14348	6406
1037	14362	6392
1038	14376	6378
1039	14389	6364
1040	14402	6350
1041	14415	6336
1042	14430	6322
1043	14444	6309
1044	14459	6295
1045	14472	6281
1046	14487	6268
1047	14499	6253
1048	14513	6239
1049	14527	6226
1050	14540	6212
1051	14554	6198
1052	14567	6183
1053	14581	6169
1054	14594	6156
1055	14609	6142
1056	14623	6128
1057	14636	6114
1058	14651	6101
1059	14664	6087
1060	14678	6073
1061	14691	6059
1062	14705	6045
1063	14720	6031
1064	14733	6017
1065	14746	6003
1066	14759	5989
1067	14773	5975
1068	14788	5962
1069	14801	5948
1070	14816	5934
1071	14829	5920
1072	14841	5906
1073	14855	5892
1074	14869	5878
1075	14883	5864
1076	14895	5850
1077	14908	5836
1078	14922	5822
1079	14935	5808
1080	14950	5794
1081	14963	5780
1082	14978	5767
1083	14990	5752
1084	15003	5738
1085	15018	5725
1086	15031	5711
1087	15044	5697
1088	15058	5683
1089	15071	5668
1090	15089	5656
1091	15102	5642
1092	15117	5629
1093	15130	5615
1094	15146	5602
1095	15161	5588
1096	15176	5575
1097	15188	5560
1098	15200	5546
1099	15214	5532
1100	15227	5518
1101	15241	5504
1102	15255	5490
1103	15268	5476
1104	15282	5463
1105	15296	5449
1106	15310	5435
1107	15323	5421
1108	15338	5407
1109	15353	5394
1110	15366	5380
1111	15380	5366
1112	15393	5352
1113	15408	5339
1114	15422	5325
1115	15436	5311
1116	15449	5297
1117	15462	5283
1118	15476	5269
1119	15488	5255
1120	15503	5241
1121	15516	5227
1122	15528	5212
1123	15542	5199
1124	15556	5185
1125	15571	5171
1126	15583	5157
1127	15596	5143
1128	15609	5129
1129	15623	5115
1130	15637	5101
1131	15652	5088
1132	15667	5075
1133	15681	5061
1134	15693	5046
1135	15706	5032
1136	15720	5018
1137	15735	5005
1138	15749	4991
1139	15764	4978
1140	15777	4964
1141	15790	4949
1142	15806	4936
1143	15819	4922
1144	15833	4909
1145	15846	4894
